Key,Title,Category,Frame,Icon,Description
"blazeandcave:weaponry/pyrotechnic","Pyrotechnic","weaponry","goal","firework_star","Craft a firework of every shape and additional effect"
"minecraft:adventure/spyglass_at_parrot","Is it a Bird?","adventure","task","spyglass","Look at a Parrot through a Spyglass"
"blazeandcave:biomes/ahoy","Ahoy!","biomes","task","spruce_fence","Come across a sunken ship"
"blazeandcave:enchanting/newtons_flaming_laser_sword","Newton's Flaming Laser Sword","enchanting","goal","flint_and_steel","Have a diamond sword with Fire Aspect II"
"minecraft:husbandry/remove_wolf_armor","Shear Brilliance","husbandry","task","shears","Remove Wolf Armor from a Wolf using Shears"
"minecraft:end/dragon_egg","The Next Generation","end","goal","dragon_egg","Hold the Dragon Egg"
"blazeandcave:biomes/le_creak_cest_chic","Le creak, c'est chic","biomes","challenge","creaking_spawn_egg","Place fifty Creaking Hearts and inundate yourself with an absolute nightmare"
"blazeandcave:farming/ecologist","Ecologist","farming","goal","jungle_sapling","Plant down all types of saplings"
"blazeandcave:building/raise_the_flag","Raise the flag!","building","task","cyan_banner","Craft and place a banner"
"blazeandcave:weaponry/that_is_so_fletch","That is so fletch!","weaponry","task","fletching_table","Craft a fletching table"
"blazeandcave:animal/sushi","Sushi","animal","task","cod","Eat some raw fish"
"blazeandcave:nether/magma_cube_squisher","Magma Cube Squisher","nether","goal","magma_cube_spawn_egg","Collect a stack of magma cream"
"blazeandcave:weaponry/pig_fishing_tournament","Pig Fishing Tournament","weaponry","task","porkchop","Pull a pig using a fishing rod"
"blazeandcave:weaponry/a_snowballs_chance_in_hell","A snowball's chance in hell","weaponry","goal","blaze_powder","Defeat a Blaze using snowballs"
"minecraft:husbandry/place_dried_ghast_in_water","Stay Hydrated","husbandry","task","dried_ghast","Place a Dried Ghast block into water"
"blazeandcave:end/anti_gravity_generator","Anti-Gravity Generator","end","challenge","light_blue_shulker_box","Bring a shulker into the overworld and let it give you anti-gravity"
"blazeandcave:nether/beacon_overlord","Beacon Overlord","nether","challenge","diamond_block","Acquire every beacon-induced effect at once"
"blazeandcave:building/pane_in_the_glass","Pane in the Glass","building","goal","light_blue_stained_glass_pane","Craft a stack of all 16 colors of stained glass panes"
"blazeandcave:animal/someones_been_here_before","Someone's been here before...","animal","goal","leather_boots","Fish out a ratty old pair of boots"
"blazeandcave:monsters/basketblock_championship","Basketblock Championship","monsters","challenge","red_sand","Kill Endermen that are holding every block that they can hold"
"minecraft:story/mine_stone","Stone Age","story","task","wooden_pickaxe","Mine stone with your new pickaxe"
"blazeandcave:monsters/not_afraid_of_heights","Not Afraid of Heights","monsters","challenge","black_concrete_powder","Bring a Warden to world height. It can’t be afraid of heights if it can’t see"
"blazeandcave:biomes/captain_america","Captain America","biomes","challenge","shield","Get completely frozen inside two blocks of Powder Snow for a loooong time."
"blazeandcave:building/mannequin","Mannequin","building","task","armor_stand","Craft an armor stand for displaying your armor"
"blazeandcave:animal/battle_of_the_bands","Battle of the Bands","animal","goal","white_banner","Blow into a Goat Horn during a raid"
"blazeandcave:enchanting/undead_slayer","Undead Slayer","enchanting","goal","rotten_flesh","Obtain Smite V"
"blazeandcave:challenges/dragon_vs_dragon_ii_electric_boogaloo","Dragon vs Dragon II: Electric Boogaloo","challenges","challenge","dragon_head","Defeat the Ender Dragon while wearing a dragon head... without touching the ground"
"blazeandcave:end/for_mother_clarence","For Mother, Clarence","end","task","shulker_box","Kill a shulker"
"blazeandcave:statistics/level_up","Level Up","statistics","task","experience_bottle","Reach 30 experience levels"
"blazeandcave:end/purpurfect","Purpurfect!","end","task","purpur_pillar","Craft or collect purpur blocks, slabs, pillars and stairs"
"blazeandcave:challenges/all_the_blocks","All the Blocks!","challenges","challenge","polished_andesite","Obtain all the blocks!"
"blazeandcave:biomes/lion_hunter","Lion Hunter","biomes","task","cod","Feed an Ocelot fish to try and gain its trust"
"blazeandcave:building/festival_of_lights","Festival of Lights","building","task","lantern","Light up the area using a lantern"
"blazeandcave:adventure/sus","sus","adventure","challenge","suspicious_sand","Obtain a stack of Suspicious Sand and Suspicious Gravel"
"blazeandcave:adventure/mold_maker","Mold Maker","adventure","task","diamond","Use seven diamonds to duplicate a Smithing Template"
"minecraft:adventure/overoverkill","Meteor Strike","adventure","challenge","deepslate_redstone_ore","Deal 50 hearts of damage in a single hit using the Mace"
"blazeandcave:building/living_dummy","Living Dummy","building","goal","chainmail_chestplate","Get killed from hitting an Armor Stand"
"blazeandcave:redstone/tripping_over","Tripping Over","redstone","task","tripwire_hook","Place a line of string between two tripwire hooks, and trigger it"
"minecraft:adventure/brush_armadillo","Isnâ€™t It Scute?","adventure","task","brush","Brush an Armadillo to get Armadillo Scutes"
"blazeandcave:building/writers_block","Writer's Block","building","task","lectern","Craft a lectern using wooden slabs and a bookshelf then place it"
"minecraft:adventure/voluntary_exile","I've got a bad feeling about this","adventure","task","white_banner","Kill a raid captain. I’d warn against drinking that bottle they dropped…"
"blazeandcave:monsters/phantom_slayer","Phantom Slayer","monsters","goal","phantom_spawn_egg","Collect a stack of phantom membranes"
"blazeandcave:mining/whats_the_time_mr_wolf","What's the time, Mr Wolf?","mining","task","clock","Time to clean your clocks! (Or, craft them!)"
"blazeandcave:adventure/hard_mode_activated","Hard Mode Activated","adventure","task","ominous_bottle","Drink an Ominous Bottle in a Trial Chamber to cast a greater challenge"
"blazeandcave:enchanting/baron_of_blacksmiths","Baron of Blacksmiths","enchanting","challenge","damaged_anvil","Get a stack of regular, chipped and damaged Anvils"
"blazeandcave:statistics/kill_or_be_killed","Kill or be Killed","statistics","challenge","diamond_sword","Defeat 25,000 mobs"
"blazeandcave:animal/chicken_cooper","Chicken Cooper","animal","goal","chicken_spawn_egg","Collect a stack of raw chicken and feathers"
"blazeandcave:animal/farmadillo","Farmadillo","animal","task","spider_eye","Breed two Armadillos using Spider Eyes"
"blazeandcave:nether/astrobrute","Astrobrute","nether","challenge","glass","Send a Piglin Brute to the End and kill it there before it zombifies"
"blazeandcave:redstone/we_have_liftoff","We Have Liftoff!","redstone","challenge","tnt","Build a redstone machine that uses TNT to launch you at least 100 blocks into the stratosphere"
"blazeandcave:mining/bouncy_beats","Bouncy Beats","mining","goal","music_disc_bounce","Find the Bounce music disc in an Abandoned Mineshaft that intersects with a Sulfur Cave"
"blazeandcave:farming/im_gonna_be_sick","I'm gonna be sick!","farming","goal","slime_ball","Slurp every kind of suspicious stew"
"blazeandcave:statistics/frequent_flyer","Frequent Flyer","statistics","challenge","firework_rocket","Fly 1000km with elytra"
"blazeandcave:mining/diamond_miner","Diamond Miner","mining","goal","deepslate_diamond_ore","Mine a stack of diamonds. Good luck!"
"blazeandcave:biomes/warm_feet","Warm Feet","biomes","goal","dead_bush","Discover every dry biome"
"blazeandcave:monsters/blast_shield","Blast Shield","monsters","task","shield","Survive a creeper's blast with your shield"
"blazeandcave:redstone/all_aboard","All Aboard!","redstone","task","minecart","Craft and board a Minecart for railway journeys"
"blazeandcave:nether/cultural_misunderstandings","Cultural Misunderstandings","nether","task","golden_sword","Slay a Piglin in battle... or an accidental incursion"
"blazeandcave:potion/death_by_magic","Death by Magic","potion","task","splash_potion","Kill a mob with a splash potion"
"minecraft:end/kill_dragon","Free the End","end","goal","dragon_head","Good luck"
"blazeandcave:mining/sly_copper_the_copper_heist","Sly Copper: The Copper Heist","mining","challenge","waxed_weathered_cut_copper_stairs","Collect a stack of every oxidizing stage of Copper Blocks, Chiseled Copper, and Cut Copper Blocks, Slabs and Stairs, including all of their waxed variants"
"blazeandcave:building/stairs_no","Stairs? NOOOOO!","building","task","spruce_stairs","Craft some stairs"
"blazeandcave:weaponry/indiana_jones","Indiana Jones","weaponry","task","fishing_rod","Pull a monster using a fishing rod"
"blazeandcave:biomes/bamboom","Bamboom!","biomes","task","bamboo","Break down some bamboo"
"blazeandcave:redstone/electric_rails","Electric Rails","redstone","task","powered_rail","Making furnace minecarts completely useless"
"blazeandcave:end/dogfight","Dogfight","end","challenge","bow","Kill a Skeleton while both you and it have levitation"
"blazeandcave:statistics/supersonic","Supersonic","statistics","goal","elytra","Fly 100km with elytra"
"blazeandcave:building/yay_i_got_my_wood","Yay! I got my wood!","building","goal","acacia_log","Collect every type of log and stem"
"blazeandcave:end/ring_of_the_end","Ring of the End","end","challenge","dragon_head","Defeat the Ender Dragon 20 times"
"blazeandcave:farming/unmasked","Unmasked","farming","task","shears","Shear the Pumpkin off of a Snow Golem to unveil their true face"
"blazeandcave:weaponry/egging_dude","Egging, Dude!","weaponry","task","egg","Vandalise something with eggs"
"blazeandcave:farming/write_your_thoughts","Write your thoughts","farming","task","writable_book","Use a book, ink and a feather to craft a book and quill"
"blazeandcave:end/shouldnt_my_shield_levitate_too","Shouldn't my shield levitate too?","end","task","shield","Block a Shulker's bullet with your shield"
"blazeandcave:farming/aquatic_biofuel","Aquatic Biofuel","farming","task","dried_kelp_block","Craft a dried kelp block for use as a great fuel source"
"blazeandcave:building/master_logger","Master Logger","building","challenge","birch_log","Cut down a full stack of logs and stems of all types"
"blazeandcave:building/a_good_start","A Good Start","building","task","oak_log","Chop down enough trees to collect a full stack of one log type"
"blazeandcave:bacap/biomes_milestone","Biomes Milestone","bacap","goal","birch_sapling","Complete every advancement in the Biomes tab"
"blazeandcave:building/cut_in_half","Cut In Half","building","task","oak_slab","Craft some slabs"
"minecraft:nether/explore_nether","Hot Tourist Destination","nether","goal","golden_boots","Explore every Nether biome"
"blazeandcave:monsters/mollusc_man","Mollusc Man","monsters","goal","nautilus_shell","Defeat a Drowned that is holding a nautilus shell"
"blazeandcave:mining/punching_bag","Punching Bag","mining","task","polished_sulfur","Have a Sulfur Cube swallow up a block"
"blazeandcave:mining/gold_rush","Gold Rush","mining","task","gold_ingot","Strike gold and smelt it into a gold ingot"
"blazeandcave:nether/hell_botanist","Hell Botanist","nether","goal","warped_roots","Gather a stack of every Nether plant"
"blazeandcave:building/crazy_walls","Crazy Walls","building","goal","sandstone_wall","Craft every type of wall"
"blazeandcave:challenges/i_am_loot","I am Loot!","challenges","challenge","chest","Open up every type of loot chest"
"minecraft:story/lava_bucket","Hot Stuff","story","task","lava_bucket","Fill a bucket with lava"
"blazeandcave:adventure/war_is_coming","War is Coming","adventure","challenge","ominous_bottle","Start a Raid with the highest level of Bad Omen"
"blazeandcave:monsters/tridented_shield","Tridented Shield","monsters","task","shield","Block a trident thrown by a Drowned"
"blazeandcave:farming/you_cant_take_the_sky_from_me","You can't take the sky from me","farming","task","firefly_bush","Obtain a Firefly Bush"
"blazeandcave:building/barrel_rider","Barrel Rider","building","task","barrel","Craft and place a barrel. Totally not for riding in"
"blazeandcave:biomes/heart_breaker","Heart Breaker","biomes","task","creaking_spawn_egg","Smash a Creaking Heart to destroy its Creaking"
"blazeandcave:end/the_point_of_no_return","The Point of No Return","end","task","black_concrete_powder","Fall into the void"
"blazeandcave:bacap/challenges_milestone","Super Challenges Milestone","bacap","goal","ender_eye","Complete every advancement in the Super Challenges tab. Good luck with this one ;)"
"blazeandcave:end/what_for","What For?","end","goal","crying_obsidian","Craft 64 ender crystals"
"blazeandcave:animal/treasure_hunter","Treasure Hunter","animal","task","nautilus_shell","Fish out a piece of treasure"
"minecraft:adventure/very_very_frightening","Very Very Frightening","adventure","challenge","dragon_breath","Strike a Villager with lightning"
"blazeandcave:potion/hopping_mad","Hopping Mad","potion","task","rabbit_foot","Get jump boost from a beacon or a potion"
"blazeandcave:nether/decaying_beauty","Decaying Beauty","nether","task","wither_rose","Pick up some Wither Roses from the damage the Wither wrought on your world"
"blazeandcave:nether/welcome_to_warp_zone","Welcome to Warp Zone!","nether","goal","warped_planks","Craft every item made out of warped wood"
"blazeandcave:enchanting/master_tridenteer","Master Tridenteer","enchanting","challenge","trident","Create a trident with all possible enchantments at max level"
"blazeandcave:biomes/one_with_the_forest","One with the forest","biomes","goal","oak_sapling","Discover every forest biome"
"blazeandcave:mining/redstone_miner","Redstone Miner","mining","goal","redstone_block","Mine enough redstone to craft a stack of redstone blocks"
"blazeandcave:farming/must_be_your_birthday","Must be your birthday","farming","goal","redstone_torch","Eat 100 slices of cake"
"blazeandcave:redstone/noteworthy","Noteworthy","redstone","goal","emerald_block","Play every possible instrument on a Note Block"
"blazeandcave:animal/the_three_little_pigs","The Three Little Pigs","animal","goal","bricks","Unite all Pig variants in one place"
"blazeandcave:weaponry/root","Weaponry","weaponry","task","stone_sword","Weapons of choice for combat"
"blazeandcave:building/grass_type","Grass Type","building","goal","podzol","Obtain every type of grass block in your inventory"
"blazeandcave:biomes/coralful_shell","Coralful Shell","biomes","goal","bubble_coral","Ride a coral-encrusted Zombie Nautilus"
"blazeandcave:enchanting/master_jouster","Master Jouster","enchanting","challenge","diamond_spear","Create a spear with all possible enchantments at max level"
"blazeandcave:nether/hung_drawn_and_bartered","Hung, Drawn and Bartered","nether","challenge","splash_potion","Barter for every possible type of item with Piglins"
"blazeandcave:monsters/handsome_jack","Handsome Jack","monsters","challenge","jack_o_lantern","Defeat a mob wearing a Jack o' Lantern on Halloween"
"blazeandcave:adventure/the_one_and_true_johnny","The one and true Johnny","adventure","goal","vindicator_spawn_egg","Defeat Johnny"
"blazeandcave:biomes/dive_bomb","Dive Bomb","biomes","goal","leather_leggings","Dive into water from a cliff at least 50 blocks tall"
"blazeandcave:statistics/elderly_enchanter","Elderly Enchanter","statistics","challenge","trident","Enchant 250 items"
"blazeandcave:bacap/monsters_milestone","Monsters Milestone","bacap","goal","zombie_head","Complete every advancement in the Monsters tab"
"blazeandcave:building/chartreuse","Chartreuse!","building","task","copper_torch","Light up the area with Copper Torches and Copper Lanterns!"
"blazeandcave:animal/master_farrier","Master Farrier","animal","challenge","horse_spawn_egg","Tame all horse variants"
"blazeandcave:farming/bapple","Bapple!","farming","task","apple","Crunch into an apple"
"blazeandcave:redstone/comparing_comparator","Comparing Comparator","redstone","task","comparator","Craft a redstone comparator"
"minecraft:adventure/hero_of_the_village","Hero of the Village","adventure","goal","firework_rocket","Triumph over a full raid for the first time"
"blazeandcave:farming/natural_fertiliser","Natural Fertiliser","farming","task","podzol","Fill up a composter"
"blazeandcave:weaponry/nice_to_mace_you","Nice to Mace You!","weaponry","goal","mace","Craft a Mace using a Breeze Rod and a Heavy Core, then do a smash attack by hitting a mob after falling"
"blazeandcave:monsters/unwanted_passenger","Unwanted Passenger","monsters","goal","tipped_arrow","Ride a Camel Husk with a Parched still riding it for 30 seconds"
"blazeandcave:building/cinnabar_island","Cinnabar Island","building","task","polished_cinnabar","Craft or collect all forms of Cinnabar, Polished Cinnabar, and Cinnabar Bricks"
"blazeandcave:animal/super_mooshroom","Super Mooshroom","animal","task","red_mushroom","Breed two stubborn mooshrooms together"
"blazeandcave:building/slabs_for_days","Slabs For Days","building","goal","smooth_stone_slab","Craft every type of slab"
"blazeandcave:farming/foliage","Foliage","farming","task","short_grass","Use shears to pick up short grass or ferns"
"blazeandcave:mining/seeing_red","Seeing Red","mining","task","redstone","Mine some redstone from the deepest caves"
"blazeandcave:animal/when_pigs_used_to_fly","When Pigs Used to Fly","animal","task","carrot_on_a_stick","Craft a carrot on a stick so you can ride a pig off a cliff"
"blazeandcave:weaponry/spleaf","Spleaf","weaponry","goal","big_dripleaf","Kill a mob using a shovel while both of you are standing on a Big Dripleaf"
"blazeandcave:redstone/sticky_parts","Sticky Parts","redstone","task","sticky_piston","Craft a sticky piston so you can pull things"
"blazeandcave:adventure/laser_sharks","Laser Sharks!","adventure","task","prismarine_shard","Defeat a Guardian"
"blazeandcave:building/your_door_was_locked","Your Door Was Locked","building","task","oak_door","Craft a door to stop monsters from entering your house"
"blazeandcave:monsters/grim_neigh","Grim Neigh","monsters","task","zombie_horse_spawn_egg","Ride a Zombie Horse"
"minecraft:adventure/spyglass_at_ghast","Is it a Balloon?","adventure","task","spyglass","Look at a Ghast through a Spyglass"
"blazeandcave:end/dimension_penetration","Dimension Penetration","end","challenge","tipped_arrow","Get hit by an arrow that has visited every dimension during its lifetime"
"blazeandcave:mining/gratest_of_all_time","Gratest of All Time","mining","goal","waxed_weathered_copper_grate","Collect a stack of every oxidizing stage of Copper Grates, including all of their waxed variants"
"blazeandcave:enchanting/magical_stockpile","Magical Stockpile","enchanting","goal","experience_bottle","Obtain a full stack of bottles of enchanting"
"blazeandcave:redstone/target_practise","Target Practise","redstone","goal","trident","Hit a Target with all types of projectiles"
"blazeandcave:monsters/desert_nomad","Desert Nomad","monsters","task","dead_bush","Kill a husk"
"blazeandcave:nether/netherite_mad_lad","Netherite Mad Lad","nether","challenge","netherite_block","Be an absolute madlad and grind enough Ancient Debris to make a stack of Netherite Blocks (this is hidden and not required for Advancement Legend btw…)"
"blazeandcave:biomes/kung_fu_panda","Kung Fu Panda!","biomes","task","leather_chestplate","Get beaten up by an angry panda"
"blazeandcave:challenges/highway_to_hell","Highway to Hell","challenges","challenge","netherrack","Send every mob to the Nether... and kill them all there"
"blazeandcave:nether/hot_air_balloon","Hot Air Balloon","nether","task","white_harness","Craft a Harness, place it on a Happy Ghast, and ride it"
"minecraft:nether/ride_strider_in_overworld_lava","Feels Like Home","nether","goal","lava_bucket","Take a Strider for a loooong ride on a lava lake in the Overworld"
"blazeandcave:biomes/moskstraumen","Moskstraumen","biomes","goal","conduit","Construct a Conduit in the ocean"
"blazeandcave:statistics/luxury_cruise","Luxury Cruise","statistics","task","oak_boat","Sail 1km in a boat"
"minecraft:story/deflect_arrow","Not Today, Thank You","story","task","shield","Deflect a Skeleton's arrow with a Shield"
"blazeandcave:end/the_start_of_something","The Start of Something","end","task","end_crystal","Craft your first ender crystal"
"blazeandcave:animal/ram","Ram","animal","task","goat_horn","Obtain a Goat’s Horn by having one ram into a block"
"blazeandcave:challenges/global_vaccination","Global Vaccination","challenges","challenge","dragon_breath","Cure a zombie villager of every profession... from every biome"
"blazeandcave:building/the_smell_of_rotten_eggs","The smell of rotten eggs","building","task","polished_sulfur","Craft or collect all forms of Sulfur, Polished Sulfur, and Sulfur Bricks"
"blazeandcave:animal/cool_kids","Cool Kids","animal","task","leather_chestplate","Craft and wear a leather jacket"
"blazeandcave:biomes/resinance","Resinance","biomes","task","resin_clump","Pick off a Resin Clump growing on the side of a Pale Oak tree"
"blazeandcave:monsters/iron_belly","Iron Belly","monsters","task","rotten_flesh","Stop starvation using rotten flesh"
"blazeandcave:animal/tropical_collection","Tropical Collection","animal","challenge","tropical_fish_bucket","Collect all 22 of the common types of tropical fish"
"blazeandcave:mining/even_moar_tools","Even MOAR Tools","mining","task","diamond_shovel","Craft a full diamond tools set"
"blazeandcave:animal/blistering_barnacles","Blistering Barnacles!","animal","task","light_blue_carpet","Get spat at by a llama"
"blazeandcave:nether/bobbleheads","Bobbleheads","nether","task","strider_spawn_egg","Breed two Striders using Warped Fungus"
"minecraft:nether/loot_bastion","War Pigs","nether","task","chest","Loot a chest in a Bastion Remnant"
"blazeandcave:challenges/death_from_all","Death From All","challenges","challenge","mossy_cobblestone_wall","Get killed by every mob that can kill you"
"blazeandcave:challenges/endergeddon","Endergeddon","challenges","challenge","end_portal_frame","Send every mob to the End... and kill them all there"
"blazeandcave:bacap/nether_milestone","Nether Milestone","bacap","goal","red_nether_bricks","Complete every advancement in the Nether tab"
"blazeandcave:weaponry/half_heart_life","Half Heart Life","weaponry","goal","nether_wart","Be on half a heart of health for a minute"
"blazeandcave:adventure/hey_you_two_should_kiss","Hey! You two should kiss!","adventure","goal","red_tulip","Use a Spyglass to look at two Villagers sitting in a Boat from at least 50 blocks away"
"blazeandcave:statistics/65_hours_of_walking","65","statistics","challenge","netherite_boots","Walk 1000km. The statistics tab shall no longer be the grindy super challenges tab"
"blazeandcave:building/sign_off","Sign Off","building","task","honeycomb","Use honeycomb to wax a sign, setting its ink for eternity"
"minecraft:nether/return_to_sender","Return to Sender","nether","goal","fire_charge","Destroy a Ghast with its fireball"
"blazeandcave:nether/polar_opposites","Polar Opposites","nether","goal","powder_snow_bucket","Start freezing in the Nether"
"blazeandcave:statistics/passing_the_time","Passing the Time","statistics","goal","clock","Play for 100 days"
"blazeandcave:adventure/crazy_cat_lady","Crazy Cat Lady","adventure","task","salmon","Tame a stray cat in a village"
